time	V(n001)	I(D1)
4.146999718207989e-08	-6.000000e+00	-6.094431e-05
4.147999718207988e-08	-6.000000e+00	-5.112190e-05
4.148999718207988e-08	-6.000000e+00	-4.288255e-05
4.149999718207988e-08	-6.000000e+00	-3.597146e-05
4.150999718207988e-08	-6.000000e+00	-3.017475e-05
4.151999718207988e-08	-6.000000e+00	-2.531288e-05
4.152999718207987e-08	-6.000000e+00	-2.123522e-05
4.153999718207987e-08	-6.000000e+00	-1.781534e-05
4.154999718207987e-08	-6.000000e+00	-1.494721e-05
4.155999718207987e-08	-6.000000e+00	-1.254185e-05
4.156999718207987e-08	-6.000000e+00	-1.052461e-05
4.157999718207986e-08	-6.000000e+00	-8.832891e-06
4.158999718207986e-08	-6.000000e+00	-7.414178e-06
4.159999718207986e-08	-6.000000e+00	-6.224423e-06
4.160999718207986e-08	-6.000000e+00	-5.226685e-06
4.161999718207986e-08	-6.000000e+00	-4.389976e-06
4.162999718207986e-08	-6.000000e+00	-3.688311e-06
4.163999718207985e-08	-6.000000e+00	-3.099898e-06
4.164999718207985e-08	-6.000000e+00	-2.606457e-06
4.165999718207985e-08	-6.000000e+00	-2.192663e-06
4.166999718207985e-08	-6.000000e+00	-1.845658e-06
4.167999718207985e-08	-6.000000e+00	-1.554665e-06
4.168999718207984e-08	-6.000000e+00	-1.310642e-06
4.169999718207984e-08	-6.000000e+00	-1.106007e-06
4.170999718207984e-08	-6.000000e+00	-9.344042e-07
4.171999718207984e-08	-6.000000e+00	-7.905007e-07
4.172999718207984e-08	-6.000000e+00	-6.698257e-07
4.173999718207983e-08	-6.000000e+00	-5.686297e-07
4.174999718207983e-08	-6.000000e+00	-4.837687e-07
4.175999718207983e-08	-6.000000e+00	-4.126058e-07
4.176999718207983e-08	-6.000000e+00	-3.529300e-07
4.177999718207983e-08	-6.000000e+00	-3.028870e-07
4.178999718207982e-08	-6.000000e+00	-2.609219e-07
4.179999718207982e-08	-6.000000e+00	-2.257308e-07
4.180999718207982e-08	-6.000000e+00	-1.962203e-07
4.181999718207982e-08	-6.000000e+00	-1.714733e-07
4.182999718207982e-08	-6.000000e+00	-1.507211e-07
4.183999718207982e-08	-6.000000e+00	-1.333186e-07
4.185999718207981e-08	-6.000000e+00	-1.064876e-07
